id_proposicao,uri,nome,codTipo,tipo,ordemAssinatura,proponente
2240923,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240926,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240925,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240914,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240929,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240927,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240915,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240931,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240912,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240918,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240934,https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,10000,Deputado(a),1,1
2240919,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240940,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240938,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240928,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240939,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240930,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240942,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240933,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240945,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240941,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240932,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240947,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240943,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado(a),1,1
2240935,https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,10000,Deputado(a),1,1
2240952,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240948,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240936,https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,10000,Deputado(a),1,1
2240953,https://dadosabertos.camara.leg.br/api/v2/deputados/133917,EDUARDO BRAGA,10000,Deputado(a),1,1
2240949,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240937,https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,10000,Deputado(a),1,1
2240955,https://dadosabertos.camara.leg.br/api/v2/deputados/133917,EDUARDO BRAGA,10000,Deputado(a),1,1
2240950,https://dadosabertos.camara.leg.br/api/v2/deputados/178922,Tadeu Alencar,10000,Deputado(a),1,1
2240944,https://dadosabertos.camara.leg.br/api/v2/deputados/73771,Flávio Arns,10000,Deputado(a),1,1
2240956,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,Edmilson Rodrigues,10000,Deputado(a),1,1
