id_votacao,id_deputado,tipoVoto,dataRegistroVoto
2367600-35,220700,0.0,2023-09-27T20:14:01
2367600-35,62881,0.0,2023-09-27T20:13:59
2367600-35,204455,Obstrução,2023-09-27T20:13:58
2367600-35,141398,0.0,2023-09-27T20:13:57
2367600-35,204369,Obstrução,2023-09-27T20:13:57
2367600-35,220578,0.0,2023-09-27T20:13:52
2367600-35,74156,0.0,2023-09-27T20:13:49
2367600-35,141464,0.0,2023-09-27T20:13:49
2367600-35,220683,0.0,2023-09-27T20:13:49
2367600-35,74044,0.0,2023-09-27T20:13:48
2367600-35,204533,0.0,2023-09-27T20:13:48
2367600-35,74273,Obstrução,2023-09-27T20:13:46
2367600-35,178835,0.0,2023-09-27T20:13:46
2367600-35,220634,0.0,2023-09-27T20:13:45
2367600-35,137070,0.0,2023-09-27T20:13:44
2367600-35,178985,Obstrução,2023-09-27T20:13:44
2367600-35,204494,0.0,2023-09-27T20:13:43
2367600-35,220543,0.0,2023-09-27T20:13:43
2367600-35,204374,Obstrução,2023-09-27T20:13:41
2367600-35,220616,Abstenção,2023-09-27T20:13:41
2367600-35,220527,0.0,2023-09-27T20:13:40
2367600-35,220563,0.0,2023-09-27T20:13:40
2367600-35,220666,Obstrução,2023-09-27T20:13:39
2367600-35,220670,0.0,2023-09-27T20:13:39
2367600-35,209787,Obstrução,2023-09-27T20:13:38
2367600-35,205550,0.0,2023-09-27T20:13:37
2367600-35,220549,1.0,2023-09-27T20:13:37
2367600-35,220556,0.0,2023-09-27T20:13:37
2367600-35,220574,Obstrução,2023-09-27T20:13:37
2367600-35,220596,Obstrução,2023-09-27T20:13:37
2367600-35,219585,0.0,2023-09-27T20:13:35
2367600-35,160527,0.0,2023-09-27T20:13:33
2367600-35,220568,Obstrução,2023-09-27T20:13:33
2367600-35,178887,0.0,2023-09-27T20:13:32
2367600-35,204360,1.0,2023-09-27T20:13:31
2367600-35,122158,0.0,2023-09-27T20:13:29
2367600-35,220539,0.0,2023-09-27T20:13:27
2367600-35,92776,0.0,2023-09-27T20:13:26
2367600-35,178858,0.0,2023-09-27T20:13:26
2367600-35,204394,0.0,2023-09-27T20:13:26
2367600-35,204364,Obstrução,2023-09-27T20:13:25
2367600-35,220582,0.0,2023-09-27T20:13:25
2367600-35,74374,0.0,2023-09-27T20:13:23
2367600-35,204419,0.0,2023-09-27T20:13:22
2367600-35,220609,0.0,2023-09-27T20:13:22
2367600-35,220625,0.0,2023-09-27T20:13:22
2367600-35,220675,0.0,2023-09-27T20:13:22
2367600-35,160558,Obstrução,2023-09-27T20:13:21
2367600-35,162067,0.0,2023-09-27T20:13:21
2367600-35,220641,0.0,2023-09-27T20:13:21
2367600-35,74784,0.0,2023-09-27T20:13:19
